Curriculum,"Chemistry, ACS Certified Concentration",,,,,,,,,
Degree Plan,"Chemistry, ACS Certified Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 111","","",,,,4,"","",1
2,"CHEM 112","","",,"1",,1,"","",1
3,"CHEM 192","","",,,,1,"","",1
4,"CO 150","","",,,,3,"","",1
5,"MATH 160","","",,,,4,"","",1
6,"AUCC 3B","","",,,,3,"","",1
7,"CHEM 113","","","5;1",,,3,"","",2
8,"CHEM 114","","",,"7",,1,"","",2
9,"CHEM 261","","",,"7",,3,"","",2
10,"PH 141","","","5",,,5,"","",2
11,"STAT 301","","","5",,,3,"","",2
12,"CHEM 334","","","8",,,1,"","",3
13,"CHEM 335","","","7","12",,3,"","",3
14,"CHEM 341","","","7",,,4,"","",3
15,"MATH 161","","","5",,,4,"","",3
16,"AUCC 3A","","",,,,4,"","",3
17,"PH 142","","","10;15",,,5,"","",4
18,"CHEM 343","","","14",,,3,"","",4
19,"CHEM 344","","","8","18",,2,"","",4
20,"MATH 261","","","15",,,4,"","",4
21,"BC 351","","","14",,,4,"","",5
22,"CHEM 440","","","19",,,2,"","",5
23,"CHEM 474","","","7;17;20",,,3,"","",5
24,"CHEM 475","","","12","23",,1,"","",5
25,"AUCC 3B","","",,,,3,"","",5
26,"AUCC 3C","","",,,,3,"","",5
27,"CHEM 476","","","23",,,3,"","",6
28,"CHEM 477","","","24",,,1,"","",6
29,"ADVANCED WRITING","","","4",,,3,"","",6
30,"AUCC 3D","","",,,,3,"","",6
31,"ELECTIVE 1","","",,,,3,"","",6
32,"CHEM 431","","","23;12",,,4,"","",7
33,"CHEM 493","","","23",,,2,"","",7
34,"AUCC 3E","","",,,,3,"","",7
35,"ELECTIVE 2","","",,,,3,"","",7
36,"ELECTIVE 3","","",,,,3,"","",7
37,"CHEM 461","","","23;9",,,3,"","",8
38,"CHEM 462","","",,"37",,2,"","",8
39,"ADVANCED SCIENCE ELECTIVE 1","","",,,,3,"","",8
40,"ADVANCED SCIENCE ELECTIVE 2","","",,,,2,"","",8
41,"ELECTIVE 4","","",,,,3,"","",8
42,"ELECTIVE 5","","",,,,2,"","",8
