Curriculum,"Fish, Wildlife, and Conservation Biology, Conservation Biology Concentration",,,,,,,,,
Degree Plan,"Fish, Wildlife, and Conservation Biology, Conservation Biology Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"BZ 110","","",,,,3,"","",1
3,"BZ 111","","",,"2",,1,"","",1
4,"PH 121","","",,,,5,"","",1
5,"FW 104","","",,,,3,"","",1
6,"BZ 120","","",,,,4,"","",2
7,"CHEM 107","","",,,,4,"","",2
8,"CHEM 108","","",,"7",,1,"","",2
9,"PH 122","","","4",,,5,"","",2
10,"AUCC 3B","","",,,,3,"","",2
11,"BZ 220","","","2",,,3,"","",3
12,"FW 260","","","2",,,3,"","",3
13,"MATH 155","","",,,,4,"","",3
14,"CHEM 245","","","7",,,4,"","",3
15,"CHEM 246","","","8","14",,1,"","",3
16,"LIFE 320","","","13;2",,,3,"","",4
17,"SPCM 200","","",,,,3,"","",4
18,"STAT 301","","","13",,,3,"","",4
19,"AUCC 3B","","",,,,3,"","",4
20,"AUCC 3C","","",,,,3,"","",4
21,"NR 220","","","13;2;3",,,5,"","",5
22,"NR 319","","",,,,4,"","",6
23,"CO 300","","","1",,,3,"","",6
24,"BSPM 302","","",,,,2,"","",6
25,"BSPM 303A","","",,"24",,2,"","",6
26,"BZ 214","","","2;3",,,4,"","",6
27,"FW 370","","","13;16;21;12;18",,,3,"","",7
28,"NR 320","","",,,,3,"","",7
29,"BZ 214","","","2;3",,,4,"","",7
30,"AUCC 3E","","",,,,3,"","",7
31,"PLANT BIOLOGY ELECTIVE","","",,,,3,"","",7
32,"FW 471","","",,,,4,"","",8
33,"FW 455","","",,,,3,"","",8
34,"AQUATIC BIOLOGY ELECTIVE","","",,,,3,"","",8
35,"HUMAN DIMENSIONS ELECTIVE 1","","",,,,3,"","",8
36,"HUMAN DIMENSIONS ELECTIVE 2","","",,,,3,"","",9
37,"WILDLIFE ELECTIVE","","",,,,3,"","",9
38,"ECOSYSTEM ELECTIVE","","",,,,3,"","",9
39,"UD TECHNICAL ELECTIVE","","",,,,3,"","",9
