Curriculum,Music Education (Vocal),,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,University of Wyoming,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MUSC0200,,,,,,0,,,1
2,MUSC1030,,,,,,3,,,1
3,MUSC1035,,,,,,1,,,1
4,MUSC1290,,,,,,1,,,1
5,MUSC2320,,,,,,2,,,1
48,ENGL1010,,,,,,3,,,1
49,USP First Year Seminar,,,,,,3,,,1
50,2000-level applied lessons II,,,,,,1,,,1
51,1000-level Ensemble,,,,,,1,,,1
6,MUSC0200,,,,,,0,,,2
7,MUSC1003,,,,,,3,,,2
8,MUSC1025,,,,,,2,,,2
9,MUSC1040,,,2,,,3,,,2
10,MUSC1045,,,3,,,1,,,2
11,MUSC1295,,,4,,,1,,,2
52,USP Quantitative Reasoning,,,,,,3,,,2
53,2000-level applied lessons II,,,,,,1,,,2
54,1000-level Ensemble,,,,,,1,,,2
12,MUSC0200,,,,,,0,,,3
13,MUSC1312,,,9;10,,,2,,,3
14,MUSC1322,,,9;10,,,2,,,3
15,MUSC2030,,,9;2,,,3,,,3
16,MUSC2035,,,10;3,,,1,,,3
17,MUSC2050,,,,,,3,,,3
18,MUSC2290,,,11,,,1,,,3
55,USP Communication 2,,,,,,3,,,3
56,3000-level applied lessons III,,,,,,1,,,3
57,1000-level Ensemble,,,,,,1,,,3
19,MUSC0200,,,,,,0,,,4
20,MUSC1332,,,9;10,,,2,,,4
21,MUSC1340,,,9;10,,,1,,,4
22,MUSC1360,,,9;10,,,1,,,4
23,MUSC2040,,,15,,,3,,,4
24,MUSC2045,,,16,,,1,,,4
25,MUSC2055,,,,,,3,,,4
26,MUSC2295,,,18,,,1,,,4
27,MUSC2395,,,,,,0,,,4
28,MUSC3255,,,,,,0,,,4
29,MUSC3265,,,,,,0,,,4
58,USP US and Wyoming Constitutions,,,,,,3,,,4
59,3000-level applied lessons III,,,,,,1,,,4
60,1000-level Ensemble,,,,,,1,,,4
30,EDST2450,,,,,,3,,,5
31,MUSC0200,,,,,,0,,,5
32,MUSC1352,,,9;10,,,2,,,5
33,MUSC4455,,,23;25;24,34,,3,,,5
34,MUSC4705,,,,,,1,,,5
35,MUSC4070,,,23;16;15;24,,,3,,,5
61,A&S Core Global Awareness (MUSC3015 recommended),,,,,,3,,,5
62,4000-level applied lessons IV,,,,,,1,,,5
63,3000-level Ensemble,,,,,,1,,,5
36,MUSC0200,,,,,,0,,,6
37,MUSC4300,,,27;16;15,,,3,,,6
38,MUSC4460,,,23;25;24,40,,3,,,6
39,MUSC4620,,,8,,,1,,,6
40,MUSC4715,,,,,,1,,,6
41,MUSC4790,,,35,,,2,,,6
64,USP Physical and Natural World,,,,,,3,,,6
65,4000-level applied lessons IV,,,,,,1,,,6
66,3000-level Ensemble,,,,,,1,,,6
42,EDEX2484,,,30,,,3,,,7
43,MUSC0200,,,,,,0,,,7
44,MUSC4155,,,,,,0,,,7
45,MUSC4465,,,23;25;24,,,3,,,7
67,USP Human Culture,,,,,,3,,,7
68,USP Physical and Natural World,,,,,,3,,,7
69,5000-level applied lessons V,,,,,,2,,,7
70,3000-level Ensemble,,,,,,1,,,7
46,MUSC4700,,,,,,8,,,8
47,MUSC4710,,,,,,8,,,8
