Curriculum,Chemical Engineering (B.S.Ch.E.) 5YR Plan 2021,,,,,,,,
Institution,University of Idaho,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.0701,,,,,,,,
Courses,,,,,,,,,
Course_ID,Course_Name,Prefix,Number,Prerequisites,Corequisites,Strict_Corequisites,Credit_Hours,Institution,Canonical_Name
385110,Intro to Chemical Engineering,CHE,110,,,,1,University of Idaho,
514712101,Writing and Rhetoric I,ENGL,101,,514712109,,3,University of Idaho,
131208143,College Algebra,MATH,143,131208108,,,3,University of Idaho,
131208144,Analytic Trigonometry,MATH,144,,131208143;131208170,,1,University of Idaho,
4561,Humanistic and Artistic Ways of Knowing Course,,,,,,3,University of Idaho,
4571,Oral Communication Course,,,,,,2,University of Idaho,
385434,Chemical Engr Lab II,CHE,434,385330;385341;385423,,,1,University of Idaho,
385454,Process Analysis & Design II,CHE,454,385453;13195453,,,3,University of Idaho,
4563,International Course,,,,,,3,University of Idaho,
4566,Major Elective Course,,,,,,3,University of Idaho,
4565,Major Elective Course,,,,,,3,University of Idaho,
385123,Computation-Chem Engr,CHE,123,,131208143;131208170,,2,University of Idaho,
514712102,Writing and Rhetoric II,ENGL,102,514712101,,,3,University of Idaho,
131208170,Calculus 1,MATH,170,131208143;131208143,131208144,,4,University of Idaho,
4559,(ECON 201 OR ECON 202),,,,,,3,University of Idaho,
4564,International Course,,,,,,3,University of Idaho,
38513111,General Chemistry I,CHEM,111,38513101;131208143;131208160;131208170,3851311112,,3,University of Idaho,
3851311112,General Chemistry I Lab,CHEM,111L,,38513111,,1,University of Idaho,
514718210,Engineering Statics,ENGR,210,131208170,,,3,University of Idaho,
4560,American Diversity Course,,,,,,3,University of Idaho,
4562,Humanistic and Artistic Ways of Knowing Course,,,,,,3,University of Idaho,
38513112,General Chemistry II,CHEM,112,38513111;3851311112,3851311212,,4,University of Idaho,
3851311212,General Chemistry II Lab,CHEM,112L,3851311112,38513112,,1,University of Idaho,
131208175,Calculus II,MATH,175,131208170,,,4,University of Idaho,
1682519211,Engineering Physics I,PHYS,211,131208170,131208170,,3,University of Idaho,
1.68E+11,Laboratory Physics I,PHYS,211L,,1682519211,,1,University of Idaho,
4572,Social and Behavioral Ways of Knowing Course,,,,,,3,University of Idaho,
38513277,Organic Chem I,CHEM,277,38513112,,,3,University of Idaho,
38513278,Organic Chem I:Lab,CHEM,278,38513277,38513277,,1,University of Idaho,
514718320,Engr Thermodynic/Heat Transfer,ENGR,320,,,,3,University of Idaho,
131208275,Calculus III,MATH,275,131208175,,,3,University of Idaho,
1682519212,Engineering Physics II,PHYS,212,1682519211,131208175,,3,University of Idaho,
4567,Major Elective Course,,,,,,3,University of Idaho,
385210,Integrated ChE Fundamentals,CHE,210,385110;385123,,,1,University of Idaho,
385223,Matl & Energy Balances,CHE,223,38513112;131208175,,,3,University of Idaho,
38513372,Organic Chem II,CHEM,372,38513277,,,3,University of Idaho,
38513374,Organic Chem II Lab,CHEM,374,38513278;38513372,38513372,,1,University of Idaho,
514718335,Engr Fluid Mechanics,ENGR,335,514718210;131208275,,,3,University of Idaho,
131208310,Ord Differential Equat,MATH,310,131208175;131208275,,,3,University of Idaho,
385326,Chem Engr Thermodynamics,CHE,326,385223;38513305;514718320;514718335;131208310,38513305,,3,University of Idaho,
385340,Transport/Rate Processes I,CHE,340,385223;514718335;131208310;13195201,,,4,University of Idaho,
38513305,Physical Chemistry,CHEM,305,38513112;3851311212;131208275;1682519212;1682519213,,,3,University of Idaho,
38513307,Physical Chemistry Lab,CHEM,307,38513305,38513305,,1,University of Idaho,
514718240,Intro Electrical Circuits,ENGR,240,131208175;1682519211;1682519211,,,3,University of Idaho,
385330,Separation Processes,CHE,330,385326;38513305,,,3,University of Idaho,
385341,Transport/Rate Processes II,CHE,341,385340,,,4,University of Idaho,
385423,Reactor Kinet & Design,CHE,423,385223;38513305;131208310,,,3,University of Idaho,
4568,Major Elective Course,,,,,,3,University of Idaho,
385433,Chem Engr Lab I,CHE,433,385330;385341;385423,,,1,University of Idaho,
385444,Process Anly & Control,CHE,444,,,,3,University of Idaho,
385453,Process Analysis & Design I,CHE,453,385330;385341;385423;13195201;13195308;13195313;13195340;13195412,,,3,University of Idaho,
385491,Senior Seminar,CHE,491,,,,1,University of Idaho,
4570,Major Elective Course,,,,,,3,University of Idaho,
4569,Major Elective Course,,,,,,3,University of Idaho,
